search_name,candidate,best_valid_accuracy,best_valid_loss,best_epoch,training_time_sec,selected
scheduler,StepLR,0.8344858156028369,0.48770067243711324,8,131.94977259961888,True
scheduler,CosineAnnealingLR,0.8298758865248227,0.49810984692675003,8,143.98669050028548,False
scheduler,ReduceLROnPlateau,0.8320921985815602,0.4939348354407236,7,143.27571459999308,False
activation,relu,0.8326241134751773,0.4911766348155678,8,144.30849880026653,False
activation,leaky_relu,0.8359929078014184,0.48734407712381783,8,144.19847710011527,False
activation,gelu,0.8408687943262412,0.47605772356615,8,143.4583470998332,True
optimizer,adam_1e-3,0.8403368794326241,0.4646174449447199,8,143.80386850005016,False
optimizer,sgd_5e-2,0.8413120567375887,0.4679214449639016,8,141.06799519993365,True
optimizer,rmsprop_1e-3,0.8408687943262412,0.46815795403845767,7,142.7893783999607,False
normalization,batchnorm,0.839095744680851,0.47309730585585247,8,140.42639880022034,True
normalization,layernorm,0.8274822695035461,0.5161795310094847,8,140.73833650024608,False
normalization,none,0.8281028368794326,0.5084539640034345,8,138.81029819976538,False
dropout,dropout_0.0,0.8604609929078014,0.4018475025680894,8,136.400982900057,True
dropout,dropout_0.3,0.8431737588652483,0.4720161547052099,8,141.17365279980004,False
dropout,dropout_0.5,0.8056737588652483,0.5759558130663337,8,142.6361237000674,False
regularization,none,0.8591312056737589,0.4081751052369463,8,135.26620909990743,False
regularization,l1,0.8593971631205674,0.4051439774797318,8,139.17145580006763,True
regularization,l2,0.8585106382978723,0.41131308340857214,7,135.9491107002832,False
